country_code,region,city,currency_code,affluence_tier,demand_level,multiplier,base_price,effective_from,kg_entity_id,notes
US,CA,San Francisco,USD,Very High,Peak,1.8,120.0,2024-01-01,KG:LOC:SF,Tech hub, high demand
US,NY,New York,USD,Very High,Peak,1.9,130.0,2024-01-01,KG:LOC:NYC,Financial center, high demand
US,TX,Austin,USD,High,Normal,1.3,80.0,2024-01-01,KG:LOC:AUS,Tech growth, moderate demand
US,,,USD,Medium,Normal,1.0,60.0,2024-01-01,KG:LOC:US,Default US pricing
GB,ENG,London,GBP,Very High,Peak,2.0,150.0,2024-01-01,KG:LOC:LON,Capital, high demand
GB,,,GBP,High,Normal,1.2,90.0,2024-01-01,KG:LOC:GB,Default UK pricing
NG,Lagos,Lagos,NGN,Medium,Normal,1.0,50.0,2024-01-01,KG:LOC:LAG,Commercial center
NG,Abuja,Abuja,NGN,High,Normal,1.2,60.0,2024-01-01,KG:LOC:ABJ,Capital city
NG,,,NGN,Low,Normal,0.8,30.0,2024-01-01,KG:LOC:NG,Default Nigeria pricing
CH,ZH,Zurich,CHF,Very High,High,1.7,200.0,2024-01-01,KG:LOC:ZUR,Banking capital
CH,,,CHF,High,Normal,1.3,120.0,2024-01-01,KG:LOC:CH,Default Switzerland pricing
IN,MH,Mumbai,INR,Medium,Peak,1.2,40.0,2024-01-01,KG:LOC:MUM,Financial center
IN,DL,Delhi,INR,Medium,Normal,1.0,35.0,2024-01-01,KG:LOC:DEL,Capital city
IN,,,INR,Low,Normal,0.7,20.0,2024-01-01,KG:LOC:IN,Default India pricing
CN,BJ,Beijing,CNY,High,Peak,1.5,80.0,2024-01-01,KG:LOC:BJ,Capital, high demand
CN,SH,Shanghai,CNY,High,Normal,1.3,70.0,2024-01-01,KG:LOC:SH,Financial center
CN,,,CNY,Medium,Normal,1.0,50.0,2024-01-01,KG:LOC:CN,Default China pricing
BR,SP,Sao Paulo,BRL,High,Peak,1.4,70.0,2024-01-01,KG:LOC:SP,Economic hub
BR,,,BRL,Medium,Normal,1.0,40.0,2024-01-01,KG:LOC:BR,Default Brazil pricing
ZA,GP,Johannesburg,ZAR,High,Normal,1.2,60.0,2024-01-01,KG:LOC:JHB,Economic center
